cycleNumber,Qchg_mAh,Echg_Wh,Qdis_mAh,Edis_Wh,eta_Q,eta_E,T_mean,T_95,frac_time_Tgt40,cycle_duration,R0_ohm,domain
188,2064.67897328818,8.148154346312353,2078.79938878961,7.1423907828389,1.0,0.8765654747410823,30.059925597891564,38.5192804,0.0003132850399342112,2010935.71283379,,Cell2
189,2071.56657184982,8.17653535071472,2078.22643364855,7.14147992082715,1.0,0.8734114896479845,30.055534154761908,38.40313369999999,0.00031315622535373603,2011762.8969323898,,Cell2
190,2065.64641310387,8.154538141438097,2078.78322486871,7.14133701046125,1.0,0.8757500285849219,30.060687226527566,38.5836715,0.0003130436464274034,2012486.3810186503,,Cell2
191,2066.01212646291,8.155962879956787,2078.87169977214,7.14201432448239,1.0,0.8756800919280582,30.084932055141582,38.429601500000004,0.0003129280527352507,2013229.7811072601,,Cell2
192,2063.01602649415,8.14310053478251,2080.10666251709,7.14179506336776,1.0,0.8770363368181732,30.072882213751864,38.52994640000001,0.00031282503859840006,2013892.7431862897,,Cell2
193,2068.40478690759,8.164042648506065,2079.88350337402,7.14183576069478,1.0,0.8747915791451264,30.056772944693574,38.599474,0.00031271636586934176,2014592.5952697203,,Cell2
194,2065.36508605901,8.151902182229419,2079.37197876763,7.14104588638674,1.0,0.8759974944196123,30.043663648729446,38.6626838,0.00031260801246862967,2015290.87535296,,Cell2
195,2065.07482775252,8.149640137421901,2078.80873407389,7.14120727845367,1.0,0.876260443165133,30.10076276611694,38.69902729999999,0.0003125060788530297,2015948.2254313203,,Cell2
196,2071.79478416378,8.177550546695388,2078.04318788357,7.14194394082581,1.0,0.8733598037754625,29.99819723845008,38.3821965,0.0003123796179368021,2016764.3435286097,,Cell2
197,2065.15776218979,8.152228555584793,2079.14958611057,7.14094297425618,1.0,0.8759498001763187,30.004178862891205,38.492811,0.0003122553007082946,2017567.2716243197,,Cell2
198,2066.2615580926,8.156936040957083,2080.84306046631,7.1409259853,1.0,0.8754421941577624,29.889202508955226,38.431972449999996,0.00031213280422218197,2018359.0657187102,,Cell2
199,2065.36547300535,8.152770698942508,2082.63784599799,7.14081257099207,1.0,0.8758755562594569,29.836144318862278,38.51769859999999,0.00031201913381000596,2019094.3658063703,,Cell2
200,2766.60884433799,10.7948026530944,2082.63784599799,7.14326336379067,0.752776399981594,0.6617317234366491,29.20583406767956,36.55705150000001,0.00027716882621170783,2020415.0459637998,,Cell2
201,2061.33753253914,8.143657339971037,2075.90224079942,7.14305519290463,1.0,0.87713110887473,29.612627077961015,37.93973449999998,0.00027720167362844424,2020175.63393527,,Cell2
202,2063.47375414419,8.150406567553297,2074.49934842529,7.14260969329417,1.0,0.8763501101563254,29.809549243647236,37.8757378,0.000296884746738611,2020973.04803032,,Cell2
203,2059.45185568768,8.13309784955502,2073.93071505778,7.14183636725991,1.0,0.8781200594618023,29.87882029216868,37.9725255,0.0002918333577423939,2021688.25011559,,Cell2
204,2063.32331311218,8.147379336368836,2073.91441775282,7.14205059835869,1.0,0.8766071031549384,29.870749922272047,37.967392,0.00029665423844503995,2022543.3982175197,,Cell2
205,2061.19156781716,8.13911964550339,2074.29920592068,7.14264897281864,1.0,0.8775702144598317,29.925712408955224,38.086697,0.0002965319892348658,2023377.21831693,,Cell2
206,2061.3552368214,8.139646078099805,2075.87219697401,7.14261736965653,1.0,0.8775095748787114,29.91139611492537,38.03138719999998,0.0002964108001719283,2024204.4864155499,,Cell2
207,2062.45880155454,8.14330360566128,2077.12373743001,7.14167794565611,1.0,0.8770000839329098,29.85954614008942,37.987142500000004,0.00031111137962759134,2024985.6365086602,,Cell2
208,2063.89201677959,8.148297979404001,2078.57058253038,7.14172762224853,1.0,0.8764686368000136,29.83252230551416,38.236025,0.00031098643773669094,2025799.19460564,,Cell2
209,2064.5041676842,8.150429631638364,2079.83612782986,7.14224649954664,1.0,0.8763030689599287,29.80211271875,38.09538774999998,0.0002960628826921781,2026583.22469911,,Cell2
210,2065.7785938224,8.154881169891079,2080.74844169624,7.14239215451786,1.0,0.8758425789070398,29.845545448584208,38.263681500000004,0.0003107519718981548,2027327.6827878598,,Cell2
211,2068.01461861031,8.16342974633071,2081.3812760536,7.14274491665465,1.0,0.8749686269873473,29.873469016369047,38.20639705,0.00031063334015463416,2028101.9248801598,,Cell2
212,2069.03268500042,8.167756605368506,2081.93401210259,7.14156409538959,1.0,0.8743605423667473,29.965986453453457,38.5026855,0.00031051126910697035,2028899.2309752,,Cell2
213,2068.62291317231,8.166047838900287,2082.2288984611,7.1414912893742,1.0,0.8745345888563809,29.935290016369045,38.5086137,0.00031036165296318964,2029877.3030918,,Cell2
